Fecha:,Luz (lux)
2018-05-07,12179.291666666666
2018-05-08,10949.9375
2018-05-09,9684.6875
2018-05-10,13621.041666666666
2018-05-11,10072.6875
2018-05-12,14197.333333333334
2018-05-13,8127.770833333333
2018-05-14,11498.4375
2018-05-15,16382.875
2018-05-16,7461.395833333333
2018-05-17,12701.541666666666
2018-05-18,6418.8125
2018-05-19,12689.0625
2018-05-20,11908.833333333334
2018-05-21,7398.625
2018-05-22,11679.770833333334
2018-05-23,10752.979166666666
2018-05-24,11159.6875
2018-05-25,13398.291666666666
2018-05-26,8216.0
2018-05-27,15343.583333333334
2018-05-28,11794.5625
2018-05-29,10222.208333333334
2018-05-30,11864.645833333334
2018-05-31,11675.833333333334
2018-06-01,3291.4666666666667
2018-06-02,13297.25
2018-06-03,10143.979166666666
2018-06-04,10049.75
2018-06-05,10931.8125
2018-06-06,6572.0625
2018-06-07,13974.333333333334
2018-06-08,11354.604166666666
2018-06-09,6407.104166666667
2018-06-10,8323.75
2018-06-11,9840.083333333334
2018-06-12,15178.979166666666
2018-06-13,10919.145833333334
2018-06-14,12045.458333333334
2018-06-15,13654.666666666666
2018-06-16,13917.520833333334
2018-06-17,7596.270833333333
2018-06-18,8753.0625
2018-06-19,11134.604166666666
2018-06-20,15554.791666666666
2018-06-21,9996.020833333334
2018-06-22,10456.229166666666
2018-06-23,8868.0
2018-06-24,11836.6875
2018-06-25,11465.25
2018-06-26,11700.75
2018-06-27,13234.645833333334
2018-06-28,9864.791666666666
2018-06-29,12304.708333333334
2018-06-30,12661.0625
2018-07-01,13729.729166666666
2018-07-02,13378.416666666666
2018-07-03,11452.9375
2018-07-04,10144.895833333334
2018-07-05,11053.125
2018-07-06,10479.1875
2018-07-07,11503.958333333334
2018-07-08,14419.604166666666
2018-07-09,6075.5625
2018-07-10,10893.875
2018-07-11,14617.104166666666
2018-07-12,11357.791666666666
2018-07-13,9944.1875
2018-07-14,11566.9375
2018-07-15,10450.25
2018-07-16,11621.229166666666
2018-07-17,10991.791666666666
2018-07-18,9765.666666666666
2018-07-19,9362.916666666666
2018-07-20,7420.041666666667
2018-07-21,11395.604166666666
2018-07-22,5589.979166666667
2018-07-23,9460.75
2018-07-24,9831.229166666666
2018-07-25,9845.729166666666
2018-07-26,6180.083333333333
2018-07-27,10765.75
2018-07-28,10915.583333333334
2018-07-29,9917.208333333334
2018-07-30,11137.458333333334
2018-07-31,13956.375
2018-08-01,12372.375
2018-08-02,13276.604166666666
2018-08-03,11331.229166666666
